一级目录,二级目录,目录,说明,国标
1. 节能环保产业,1.1高效节能装备制造,1.1.1节能锅炉制造,包括高低差速循环流化床油页岩锅炉、煤泥循环流化床锅炉、蓄热稳燃高炉煤气锅炉、高效煤粉工业锅炉、高效低污染层燃室燃复合燃烧锅炉、高效生物质成型燃料锅炉、多流程生物质循环流化床锅炉、固体可燃废弃物循环流化床锅炉等节能型电站锅炉、工业锅炉和船用锅炉，以及先进煤气化装备等制造。锅炉能效等级达到《锅炉节能技术监督管理规程》（含修改单）（TSGG0002）中热效率指标的目标值要求，工业锅炉能效优于《工业锅炉能效限定值及能效等级》（GB24500）规定的2级能效等级要求；工业锅炉大气污染物排放浓度值符合《锅炉大气污染物排放标准》（GB13271）要求，电站锅炉大气污染物排放浓度值符合《火电厂大气污染物排放标准》（GB13223）要求。,《锅炉节能技术监督管理规程》（含修改单）（TSGG0002）&《工业锅炉能效限定值及能效等级》（GB24500）&《锅炉大气污染物排放标准》（GB13271）&《火电厂大气污染物排放标准》（GB13223）
1. 节能环保产业,1.1高效节能装备制造,1.1.2节能窑炉制造,包括采用高温空气燃烧技术的冶金加热炉、节能工业电炉、节能型非电热金属处理用炉、节能型辊道窑、节能型隧道窑、节能型梭式窑、节能型推板窑、节能型保护气氛窑炉、节能型氮化窑、节能型烧成窑炉、节能型烘烤干燥炉等高效工业窑炉，以及节能型炉用燃烧器等设备制造。,《）
1. 节能环保产业,1.1高效节能装备制造,1.1.3节能型泵及真空设备制造,包括节能泵、节能型真空干燥设备、节能型真空炉等设备制造。清水离心泵能效指标优于《清水离心泵能效限定值及节能评价值》（GB19762）标准中节能评价值水平；石油化工离心泵能效优于《石油化工离心泵能效限定值及能效等级》（GB32284）标准中1级能效水平；潜水电泵能效优于《井用潜水电泵能效限定值及能效等级》（GB32030）、《小型潜水电泵能效限定值及能效等级》（GB32029）、《污水污物潜水电泵能效限定值及能效等级》（GB32031）标准中1级能效水平。,《清水离心泵能效限定值及节能评价值》（GB19762）&《石油化工离心泵能效限定值及能效等级》（GB32284）&《井用潜水电泵能效限定值及能效等级》（GB32030）&《小型潜水电泵能效限定值及能效等级》（GB32029）&《污水污物潜水电泵能效限定值及能效等级》（GB32031）
1. 节能环保产业,1.1高效节能装备制造,1.1.4节能型气体压缩设备制造,包括节能型空气压缩机、空气调节器用压缩机等设备制造。容积式空气压缩机能效优于《容积式空气压缩机能效限定值及能效等级》（GB19153）标准中1级能效水平；空气调节器用全封闭型电动机-压缩机能效优于《空气调节器用全封闭型电动机-压缩机能效限定值及能源效率等级》（GB35971）标准中1级能效水平。,《容积式空气压缩机能效限定值及能效等级》（GB19153）&《空气调节器用全封闭型电动机-压缩机能效限定值及能源效率等级》（GB35971）
1. 节能环保产业,1.1高效节能装备制造,1.1.5节能型液压气压元件制造,包括节能型液压和气压动力机械及元件制造。,《）
1. 节能环保产业,1.1高效节能装备制造,1.1.6节能风机风扇制造,包括节能型通风机、鼓风机、工业风扇、通风罩、循环气罩等设备制造。通风机能效优于《通风机能效限定值及能效等级》（GB19761）标准中1级能效水平；离心鼓风机能效《离心鼓风机能效限定值及节能评价值》（GB28381）标准中1级能效水平。,《通风机能效限定值及能效等级》（GB19761）&《离心鼓风机能效限定值及节能评价值》（GB28381）
1. 节能环保产业,1.1高效节能装备制造,1.1.7高效发电机及发电机组制造,包括节能型交流发电机、节能型直流发电机、节能型发电机组、节能型内燃发电机组、节能型旋转式变流机、与内燃机配用的节能型发电机、节能电机及发电机组专用零件等设备制造。,《）
1. 节能环保产业,1.1高效节能装备制造,1.1.8节能电机制造,包括节能型直流电动机、节能型交流电动机、节能型交直流两用电动机、节能型小功率电动机、节能型微电机、稀土永磁电机等设备制造。中小型三相异步电动机能效优于《中小型三相异步电动机能效限定值及能效等级》（GB18613）标准中1级能效水平；永磁同步电动机能效优于《永磁同步电动机能效限定值及能效等级》（GB30253）标准中1级能效水平；高压三相笼型异步电动机能效优于《高压三相笼型异步电动机能效限定值及能效等级》（GB30254）标准1级能效水平；小功率电动机能效优于《小功率电动机能效限定值及能效等级》（GB25958）标准1级能效水平。,《中小型三相异步电动机能效限定值及能效等级》（GB18613）&《永磁同步电动机能效限定值及能效等级》（GB30253）&《高压三相笼型异步电动机能效限定值及能效等级》（GB30254）&《小功率电动机能效限定值及能效等级》（GB25958）
1. 节能环保产业,1.1高效节能装备制造,1.1.9节能型变压器、整流器、电感器和电焊机制造,节能型变压器、节能型互感器、静止式节能变流器、节能型电抗器、节能型电感器、变频器、电焊机等设备制造。三相配电变压器能效优于《三相配电变压器能效限定值及能效等级》（GB20052）标准1级能效水平；电力变压器能效优于《电力变压器能效限定值及能效等级》（GB24790）标准1级能效水平；交流接触器能效优于《交流接触器能效限定值及能效等级》（GB21518）标准1级能效水平；1kV及以下通用变频调速设备符合《1kV及以下通用变频调速设备第一部分：技术条件》（GB/T30844.1）标准要求；1kV以上不超过35kV通用变频调速设备符合《1kV以上不超过35kV的通用变频调速设备第一部分：技术条件》（GB/T30843.1）标准要求。,《三相配电变压器能效限定值及能效等级》（GB20052）&《电力变压器能效限定值及能效等级》（GB24790）&《交流接触器能效限定值及能效等级》（GB21518）&《1kV及以下通用变频调速设备第一部分：技术条件》（GB/T30844.1）&《1kV以上不超过35kV的通用变频调速设备第一部分：技术条件》（GB/T30843.1）
1. 节能环保产业,1.1高效节能装备制造,1.1.10余热余压余气利用设备制造,低热值煤气燃气轮机、低温烟气余热深度回收装置、窑炉余热利用装置、基于吸收式换热的集中供热装置、循环水及乏汽余热回收大型热泵装置、高效换热器、高效蓄能器、高效冷凝器等设备制造。热交换器能效等级达到《热交换器能效测试与评价规则》（TSGR0010）中的目标值要求。,《热交换器能效测试与评价规则》（TSGR0010）
